#Table 6 
#F99 Reddening in Different Bandpasses
#
#
#Bandpass	lambda_eff	R_V				Bandpass	lambda_eff	R_V				
#		2.1	3.1	4.1	5.1			2.1	3.1	4.1	5.1	
Band            lambda_eff  R_V_2.1 R_V_3.1 R_V_4.1 R_V_5.1 
DSS-II_g	    4620.6	3.970	3.381	3.110	2.954	
DSS-II_r	    6545.5	1.991	2.088	2.133	2.159	
DSS-II_i	    8111.0	1.396	1.487	1.530	1.554	
PS1_g           4876.7	3.634	3.172	2.958	2.835	
PS1_r           6200.1	2.241	2.271	2.284	2.292	
PS1_i           7520.8	1.568	1.682	1.734	1.765	
PS1_z	        8665.3	1.258	1.322	1.352	1.369	
PS1_y	        9706.3	1.074	1.087	1.094	1.097	
PS1_w	        6240.8	2.425	2.341	2.302	2.280	
LSST_u	        3693.2	5.243	4.145	3.652	3.373	
LSST_g	        4797.3	3.739	3.237	3.006	2.872	
LSST_r	        6195.8	2.245	2.273	2.286	2.294	
LSST_i	        7515.3	1.571	1.684	1.737	1.767	
LSST_z	        8664.4	1.259	1.323	1.353	1.370	
LSST_y	        9710.3	1.075	1.088	1.094	1.098		
WFPC2_F300W	    3087.6	6.777	4.902	4.127	3.710	
WFPC2_F450W	    4587.0	4.014	3.410	3.132	2.971	
WFPC2_F555W	    5439.4	2.976	2.755	2.653	2.594	
WFPC2_F606W	    5984.8	2.469	2.415	2.389	2.375	
WFPC2_F702W	    6887.9	1.850	1.948	1.994	2.020	
WFPC2_F814W	    7940.0	1.452	1.549	1.594	1.620	
WFC3_F105W	    10438.9	0.981	0.969	0.964	0.961	
WFC3_F110W	    11169.7	0.907	0.881	0.870	0.863	
WFC3_F125W	    12335.5	0.778	0.726	0.701	0.687	
WFC3_F140W	    13692.3	0.672	0.613	0.586	0.570	
WFC3_F160W	    15258.3	0.570	0.512	0.485	0.469	
WFC3_F200LP 	5515.2	3.457	2.958	2.743	2.625	
WFC3_F218W	    2248.3	12.405	7.760	5.956	5.027	
WFC3_F225W	    2394.0	10.907	6.989	5.458	4.666	
WFC3_F275W	    2742.5	7.986	5.487	4.488	3.963	
WFC3_F300X	    2934.5	7.437	5.228	4.331	3.854	
WFC3_F336W	    3366.4	5.835	4.453	3.853	3.519	
WFC3_F350LP 	5877.1	2.876	2.624	2.509	2.443	
WFC3_F390W	    3994.8	4.803	3.896	3.481	3.244	
WFC3_F438W	    4335.3	4.347	3.623	3.288	3.095	
WFC3_F475W	    4785.0	3.755	3.248	3.013	2.878	
WFC3_F475X	    4969.7	3.548	3.116	2.917	2.803	
WFC3_F555W	    5302.8	3.135	2.855	2.726	2.652	
WFC3_F600LP 	7362.3	1.688	1.781	1.824	1.849	
WFC3_F606W	    5868.5	2.581	2.488	2.445	2.421	
WFC3_F625W	    6225.8	2.230	2.259	2.273	2.281	
WFC3_F775W	    7630.9	1.533	1.643	1.694	1.724	
WFC3_F814W	    7983.1	1.441	1.536	1.580	1.605	
